case,completeTime,event,sunUp
0,2025-01-01T01:06:00.000000,presenceOn,0
0,2025-01-01T01:11:00.000000,doorOpened,0
0,2025-01-01T01:12:00.000000,nicolasNotDected,0
0,2025-01-01T01:13:00.000000,doorClosed,0
1,2025-01-01T07:05:00.000000,lampOn,0
1,2025-01-01T08:39:00.000000,blindsOpen,1
1,2025-01-01T08:39:00.000000,lampOff,1
1,2025-01-01T09:03:00.000000,presenceOn,1
1,2025-01-01T09:03:00.000000,doorOpened,1
1,2025-01-01T09:03:00.000000,nicolasDetected,1
1,2025-01-01T09:03:00.000000,nicolasNotDected,1
1,2025-01-01T09:03:00.000000,doorClosed,1
1,2025-01-01T09:03:00.000000,presenceOff,1
2,2025-01-01T17:03:00.000000,presenceOn,1
2,2025-01-01T17:03:00.000000,doorOpened,1
2,2025-01-01T17:03:00.000000,nicolasDetected,1
2,2025-01-01T17:03:00.000000,nicolasNotDected,1
2,2025-01-01T17:03:00.000000,doorClosed,1
2,2025-01-01T17:32:00.000000,lampOn,0
2,2025-01-01T17:32:00.000000,blindsClosed,0
3,2025-01-01T22:03:00.000000,lampOff,0
4,2025-01-02T07:07:00.000000,lampOn,0
4,2025-01-02T08:44:00.000000,blindsOpen,1
4,2025-01-02T08:44:00.000000,lampOff,1
4,2025-01-02T09:01:00.000000,presenceOn,1
4,2025-01-02T09:01:00.000000,doorOpened,1
4,2025-01-02T09:01:00.000000,nicolasDetected,1
4,2025-01-02T09:01:00.000000,nicolasNotDected,1
4,2025-01-02T09:01:00.000000,doorClosed,1
4,2025-01-02T09:01:00.000000,presenceOff,1
5,2025-01-02T16:57:00.000000,presenceOn,1
5,2025-01-02T16:57:00.000000,doorOpened,1
5,2025-01-02T16:57:00.000000,nicolasDetected,1
5,2025-01-02T16:57:00.000000,nicolasNotDected,1
5,2025-01-02T16:57:00.000000,doorClosed,1
5,2025-01-02T17:05:00.000000,lampOn,0
5,2025-01-02T17:05:00.000000,blindsClosed,0
6,2025-01-02T22:05:00.000000,lampOff,0
7,2025-01-03T07:10:00.000000,lampOn,0
7,2025-01-03T08:43:00.000000,blindsOpen,1
7,2025-01-03T08:43:00.000000,lampOff,1
7,2025-01-03T08:56:00.000000,presenceOn,1
7,2025-01-03T08:56:00.000000,doorOpened,1
7,2025-01-03T08:56:00.000000,nicolasDetected,1
7,2025-01-03T08:56:00.000000,nicolasNotDected,1
7,2025-01-03T08:56:00.000000,doorClosed,1
7,2025-01-03T08:56:00.000000,presenceOff,1
8,2025-01-03T16:38:00.000000,presenceOn,1
8,2025-01-03T16:38:00.000000,doorOpened,1
8,2025-01-03T16:38:00.000000,nicolasDetected,1
8,2025-01-03T16:38:00.000000,nicolasNotDected,1
8,2025-01-03T16:38:00.000000,doorClosed,1
8,2025-01-03T17:06:00.000000,lampOn,0
8,2025-01-03T17:06:00.000000,blindsClosed,0
9,2025-01-03T22:00:00.000000,lampOff,0
10,2025-01-04T10:29:00.000000,blindsOpen,1
