case,completeTime,event,sunUp
1,2025-06-01 20:26:12,SunDown,0
1,2025-06-01 20:26:22,doorOpened,0
1,2025-06-01 20:26:32,presenceOn,0
1,2025-06-01 20:26:42,nicolasDetected,0
1,2025-06-01 20:26:52,lampOn,0
2,2025-06-02 20:31:48,SunDown,0
2,2025-06-02 20:31:58,doorOpened,0
2,2025-06-02 20:32:08,presenceOn,0
2,2025-06-02 20:32:18,nicolasDetected,0
2,2025-06-02 20:32:28,lampOn,0
3,2025-06-03 20:26:38,SunDown,0
3,2025-06-03 20:26:48,doorOpened,0
3,2025-06-03 20:26:58,presenceOn,0
3,2025-06-03 20:27:08,nicolasDetected,0
3,2025-06-03 20:27:18,lampOn,0
4,2025-06-04 20:26:20,SunDown,0
4,2025-06-04 20:26:30,doorOpened,0
4,2025-06-04 20:26:40,presenceOn,0
4,2025-06-04 20:26:50,nicolasDetected,0
4,2025-06-04 20:27:00,lampOn,0
5,2025-06-05 20:35:21,SunDown,0
5,2025-06-05 20:35:31,doorOpened,0
5,2025-06-05 20:35:41,presenceOn,0
5,2025-06-05 20:35:51,nicolasDetected,0
5,2025-06-05 20:36:01,lampOn,0
6,2025-06-06 20:34:59,SunDown,0
6,2025-06-06 20:35:09,doorOpened,0
6,2025-06-06 20:35:19,presenceOn,0
6,2025-06-06 20:35:29,nicolasDetected,0
6,2025-06-06 20:35:39,lampOn,0
7,2025-06-07 20:30:05,SunDown,0
7,2025-06-07 20:30:15,doorOpened,0
7,2025-06-07 20:30:25,presenceOn,0
7,2025-06-07 20:30:35,nicolasDetected,0
7,2025-06-07 20:30:45,lampOn,0
8,2025-06-08 20:30:04,SunDown,0
8,2025-06-08 20:30:14,doorOpened,0
8,2025-06-08 20:30:24,presenceOn,0
8,2025-06-08 20:30:34,nicolasDetected,0
8,2025-06-08 20:30:44,lampOn,0
9,2025-06-09 20:31:01,SunDown,0
9,2025-06-09 20:31:11,doorOpened,0
9,2025-06-09 20:31:21,presenceOn,0
9,2025-06-09 20:31:31,nicolasDetected,0
9,2025-06-09 20:31:41,lampOn,0
10,2025-06-10 20:29:59,SunDown,0
10,2025-06-10 20:30:09,doorOpened,0
10,2025-06-10 20:30:19,presenceOn,0
10,2025-06-10 20:30:29,nicolasDetected,0
10,2025-06-10 20:30:39,lampOn,0
