case,completeTime,event,sunUp
1,2025-01-01 01:06:00,presenceOn,0
1,2025-01-01 01:11:00,doorOpened,0
1,2025-01-01 01:12:00,nicolasNotDected,0
1,2025-01-01 01:13:00,doorClosed,0
2,2025-01-01 07:05:00,lampOn,0
2,2025-01-01 08:39:00,sunUp,1
2,2025-01-01 08:39:00,blindsOpen,1
2,2025-01-01 08:39:00,lampOff,1
2,2025-01-01 09:03:00,presenceOn,1
2,2025-01-01 09:03:00,doorOpened,1
2,2025-01-01 09:03:00,nicolasDetected,1
2,2025-01-01 09:03:00,nicolasNotDected,1
2,2025-01-01 09:03:00,doorClosed,1
2,2025-01-01 09:03:00,presenceOff,1
2,2025-01-01 17:03:00,presenceOn,1
2,2025-01-01 17:03:00,doorOpened,1
2,2025-01-01 17:03:00,nicolasDetected,1
2,2025-01-01 17:03:00,nicolasNotDected,1
2,2025-01-01 17:03:00,doorClosed,1
2,2025-01-01 17:32:00,sunDown,0
2,2025-01-01 17:32:00,lampOn,0
2,2025-01-01 17:32:00,blindsClosed,0
2,2025-01-01 22:03:00,lampOff,0
3,2025-01-02 07:07:00,lampOn,0
3,2025-01-02 08:44:00,sunUp,1
3,2025-01-02 08:44:00,blindsOpen,1
3,2025-01-02 08:44:00,lampOff,1
3,2025-01-02 09:01:00,presenceOn,1
3,2025-01-02 09:01:00,doorOpened,1
3,2025-01-02 09:01:00,nicolasDetected,1
3,2025-01-02 09:01:00,nicolasNotDected,1
3,2025-01-02 09:01:00,doorClosed,1
3,2025-01-02 09:01:00,presenceOff,1
3,2025-01-02 16:57:00,presenceOn,1
3,2025-01-02 16:57:00,doorOpened,1
3,2025-01-02 16:57:00,nicolasDetected,1
3,2025-01-02 16:57:00,nicolasNotDected,1
3,2025-01-02 16:57:00,doorClosed,1
3,2025-01-02 17:05:00,sunDown,0
3,2025-01-02 17:05:00,lampOn,0
3,2025-01-02 17:05:00,blindsClosed,0
3,2025-01-02 22:05:00,lampOff,0
4,2025-01-03 07:10:00,lampOn,0
4,2025-01-03 08:43:00,sunUp,1
4,2025-01-03 08:43:00,blindsOpen,1
4,2025-01-03 08:43:00,lampOff,1
4,2025-01-03 08:56:00,presenceOn,1
4,2025-01-03 08:56:00,doorOpened,1
4,2025-01-03 08:56:00,nicolasDetected,1
4,2025-01-03 08:56:00,nicolasNotDected,1
4,2025-01-03 08:56:00,doorClosed,1
4,2025-01-03 08:56:00,presenceOff,1
4,2025-01-03 16:38:00,presenceOn,1
4,2025-01-03 16:38:00,doorOpened,1
4,2025-01-03 16:38:00,nicolasDetected,1
4,2025-01-03 16:38:00,nicolasNotDected,1
4,2025-01-03 16:38:00,doorClosed,1
4,2025-01-03 17:06:00,sunDown,0
4,2025-01-03 17:06:00,lampOn,0
4,2025-01-03 17:06:00,blindsClosed,0
4,2025-01-03 22:00:00,lampOff,0
5,2025-01-04 08:43:00,sunUp,1
5,2025-01-04 10:29:00,blindsOpen,1
5,2025-01-04 13:15:00,presenceOn,1
5,2025-01-04 13:15:00,doorOpened,1
5,2025-01-04 13:15:00,nicolasDetected,1
5,2025-01-04 13:15:00,nicolasNotDected,1
5,2025-01-04 13:15:00,doorClosed,1
5,2025-01-04 13:15:00,presenceOff,1
5,2025-01-04 16:23:00,presenceOn,1
5,2025-01-04 16:23:00,doorOpened,1
5,2025-01-04 16:23:00,nicolasDetected,1
5,2025-01-04 16:23:00,nicolasNotDected,1
5,2025-01-04 16:23:00,doorClosed,1
5,2025-01-04 17:07:00,sunDown,0
5,2025-01-04 17:07:00,lampOn,0
5,2025-01-04 17:07:00,blindsClosed,0
5,2025-01-04 22:30:00,lampOff,0
6,2025-01-05 08:43:00,sunUp,1
6,2025-01-05 09:36:00,blindsOpen,1
6,2025-01-05 17:08:00,sunDown,0
6,2025-01-05 17:08:00,lampOn,0
6,2025-01-05 17:08:00,blindsClosed,0
6,2025-01-05 22:34:00,lampOff,0
7,2025-01-06 07:03:00,lampOn,0
7,2025-01-06 08:43:00,sunUp,1
7,2025-01-06 08:43:00,blindsOpen,1
