case,completeTime,event,sunUp
1,2025-06-01 06:41:00,sunUp,1
1,2025-06-01 07:16:44,nicolasDetected,1
1,2025-06-01 07:21:44,presenceOn,1
1,2025-06-01 07:23:44,blindsOpen,1
1,2025-06-01 09:06:05,doorOpened,1
1,2025-06-01 09:08:05,doorClosed,1
1,2025-06-01 09:09:05,nicolasNotDected,1
1,2025-06-01 09:10:05,presenceOff,1
1,2025-06-01 18:12:00,sunDown,0
1,2025-06-01 19:00:40,doorOpened,0
1,2025-06-01 19:02:40,doorClosed,0
1,2025-06-01 19:03:40,nicolasDetected,0
1,2025-06-01 19:03:40,lampOn,0
1,2025-06-01 19:04:40,presenceOn,0
1,2025-06-01 19:05:40,blindsOpen,0
1,2025-06-01 19:06:40,blindsClosed,0
1,2025-06-02 01:26:13,lampOff,0
1,2025-06-02 01:36:13,presenceOff,0
1,2025-06-02 01:37:13,nicolasNotDected,0
1,2025-06-02 01:39:13,musicOff,0
2,2025-06-02 06:31:00,sunUp,1
2,2025-06-02 07:46:44,nicolasDetected,1
2,2025-06-02 07:51:44,presenceOn,1
2,2025-06-02 07:53:44,blindsOpen,1
2,2025-06-02 09:56:01,doorOpened,1
2,2025-06-02 09:58:01,doorClosed,1
2,2025-06-02 09:59:01,nicolasNotDected,1
2,2025-06-02 10:00:01,presenceOff,1
2,2025-06-02 18:01:00,sunDown,0
2,2025-06-02 19:00:20,doorOpened,0
2,2025-06-02 19:02:20,doorClosed,0
2,2025-06-02 19:03:20,nicolasDetected,0
2,2025-06-02 19:03:20,lampOn,0
2,2025-06-02 19:04:20,presenceOn,0
2,2025-06-02 19:05:20,blindsOpen,0
2,2025-06-02 19:06:20,blindsClosed,0
2,2025-06-03 01:41:17,lampOff,0
2,2025-06-03 01:51:17,presenceOff,0
2,2025-06-03 01:52:17,nicolasNotDected,0
2,2025-06-03 01:54:17,musicOff,0
3,2025-06-03 06:37:00,sunUp,1
3,2025-06-03 07:55:41,nicolasDetected,1
3,2025-06-03 08:00:41,presenceOn,1
3,2025-06-03 08:02:41,blindsOpen,1
3,2025-06-03 09:11:36,doorOpened,1
3,2025-06-03 09:13:36,doorClosed,1
3,2025-06-03 09:14:36,nicolasNotDected,1
3,2025-06-03 09:15:36,presenceOff,1
3,2025-06-03 18:05:00,sunDown,0
3,2025-06-03 19:00:07,doorOpened,0
3,2025-06-03 19:02:07,doorClosed,0
3,2025-06-03 19:03:07,nicolasDetected,0
3,2025-06-03 19:03:07,lampOn,0
3,2025-06-03 19:04:07,presenceOn,0
3,2025-06-03 19:05:07,blindsOpen,0
3,2025-06-03 19:06:07,blindsClosed,0
3,2025-06-04 01:41:35,lampOff,0
3,2025-06-04 01:51:35,presenceOff,0
3,2025-06-04 01:52:35,nicolasNotDected,0
3,2025-06-04 01:54:35,musicOff,0
4,2025-06-04 06:45:00,sunUp,1
4,2025-06-04 07:00:06,nicolasDetected,1
4,2025-06-04 07:05:06,presenceOn,1
4,2025-06-04 07:07:06,blindsOpen,1
4,2025-06-04 09:43:59,doorOpened,1
4,2025-06-04 09:45:59,doorClosed,1
4,2025-06-04 09:46:59,nicolasNotDected,1
4,2025-06-04 09:47:59,presenceOff,1
4,2025-06-04 18:03:00,sunDown,0
4,2025-06-04 19:00:02,doorOpened,0
4,2025-06-04 19:02:02,doorClosed,0
4,2025-06-04 19:03:02,nicolasDetected,0
4,2025-06-04 19:03:02,lampOn,0
4,2025-06-04 19:04:02,presenceOn,0
4,2025-06-04 19:05:02,musicOn,0
4,2025-06-04 19:06:02,blindsClosed,0
4,2025-06-05 01:36:30,lampOff,0
4,2025-06-05 01:46:30,presenceOff,0
4,2025-06-05 01:47:30,nicolasNotDected,0
4,2025-06-05 01:49:30,musicOff,0
5,2025-06-05 06:31:00,sunUp,1
5,2025-06-05 07:22:44,nicolasDetected,1
5,2025-06-05 07:27:44,presenceOn,1
5,2025-06-05 07:29:44,blindsOpen,1
5,2025-06-05 09:03:33,doorOpened,1
5,2025-06-05 09:05:33,doorClosed,1
5,2025-06-05 09:06:33,nicolasNotDected,1
5,2025-06-05 09:07:33,presenceOff,1
5,2025-06-05 18:06:00,sunDown,0
5,2025-06-05 19:00:35,doorOpened,0
5,2025-06-05 19:02:35,doorClosed,0
5,2025-06-05 19:03:35,nicolasDetected,0
5,2025-06-05 19:03:35,lampOn,0
5,2025-06-05 19:04:35,presenceOn,0
5,2025-06-05 19:05:35,blindsOpen,0
5,2025-06-05 19:06:35,blindsClosed,0
5,2025-06-06 01:47:32,lampOff,0
